submission_id,age,answer,category,comments,correct_response,education,experiment_duration,experiment_end_time,experiment_start_time,explanation,gender,itemName,languages,responseTime,settingName,trialNr,trial_type
221,21,they may like the dog as well ,goals,,main,Graduated High-school,288828,1738256948385,1738256659557,"I'm sorry, we don't have dalmatians. We have golden retrievers.",female,petAdoption-dogs,english,18465,petAdoption,5,main
222,38,"Knowing that the intended audience is children, then the circus show is the one that is most appropraite to offer",goals,,main,Higher degree,279824,1738257062063,1738256782239,"I'm sorry, we don't have a theatre performance for children. We have a circus show.",female,touristInfo-childTheatre,English,65312,touristInfo,3,main
223,40,"He informs the the young man that what he looking for is not available so in order keep an potential sales and fulfilling the needs of the customer offer a Xbox is reasonable thing to say as it is a good alternative to the Play station  

",goals,,main,Graduated High-school,447325,1738257063354,1738256616029,"I'm sorry, we don't have a PlayStation. We have an Xbox.",male,electronics-console,English ,163499,electronics,1,main
223,40,there maybe a lot of cross pollination in customers in the type of books this person is is looking to get ,goals,,main,Graduated High-school,447325,1738257063354,1738256616029,"I'm sorry, we don't have psychological thrillers. We have mystery novels.",male,books-fantasy,English ,95201,books,2,main
223,40,Kickboxing is a good alternative and  seems to comes across as more intense and harder exercise to master if a challenge is what they are after ,goals,,main,Graduated High-school,447325,1738257063354,1738256616029,"I'm sorry, we don't have boxing classes. We have kickboxing classes.",male,gym-boxing,English ,87491,gymActivities,3,main
224,18,"EArrings and necklaces are different types of jewellery, someone who wants earrings might be interested in buying a different type of jewellery instead",goals,,main,Higher degree,303956,1738257122311,1738256818355,"I'm sorry, we don't have earrings. We have necklaces.",female,clothing-acc,English,57684,clothing,3,main
226,69,"The response aligns with the request for a dog, albeit different type",goals,,main,Higher degree,215875,1738257271688,1738257055813,"I'm sorry, we don't have dalmatians. We have golden retrievers.",male,petAdoption-dogs,English,50455,petAdoption,3,main
227,65,"The customer requires a form of boat to travel in as opposed to water skiing. Canoes and kayaks are similar modes of water transport
",goals,,main,Graduated High-school,332878,1738257441256,1738257108378,"I'm sorry, we don't have canoes. We have kayaks.",female,waterSport-muscle,English,94563,waterSport,2,main
228,27,Because the bartender is explaining that they dont stock that particular drink that the lady wants but he is offering her something that she may like instead ,goals,,main,Graduated College,266496,1738257476411,1738257209915,"I'm sorry, we don't have Sauvignon Blanc. We have Chardonnay.",female,bar-whiteWine,english,44353,bar,2,main
228,27,"a family wanted a specific breed and they didnt have it, so the centre had said they have goldies.. because this potentially could change the families mind and they may want to adopt a goldie ",goals,,main,Graduated College,266496,1738257476411,1738257209915,"I'm sorry, we don't have dalmatians. We have golden retrievers.",female,petAdoption-dogs,english,55937,petAdoption,4,main
228,27,its reasonable because they have made it clear that they dont have raspberry cake but they do offer a raspberry pie which they have in stock if they would just like something that has raspberry in so they dont leave disappointed and feel like they didnt have options ,goals,,main,Graduated College,266496,1738257476411,1738257209915,"I'm sorry, we don't have raspberry cake. We have raspberry pie.",female,cafe-pie,english,49328,cafe,5,main
235,61,"Both Dalmatians and Golden Retrievers are breeds of dog, so if the family would consider an alternative breed they may adopt a golden retriever instead of a Dalmatian.",goals,,main,Higher degree,582090,1738257751370,1738257169280,"I'm sorry, we don't have dalmatians. We have golden retrievers.",female,petAdoption-dogs,English,162075,petAdoption,1,main
235,61,Because the agent has presumed that the young man is looking for low-cost accommodation and the cheap B&B would be the lowest cost of the options available.,goals,,main,Higher degree,582090,1738257751370,1738257169280,"I'm sorry, we don't have a bed in the youth hostel. We have a room in a cheap bed-and-breakfast.",female,bookingAgency-lowClassAccommodation,English,143846,bookingAgency,3,main
235,61,"The waiter has presumed that the customer likes and fancies eating something sweet with a raspberry flavor, so has suggested the pie as an alternative to the requested cake.",goals,,main,Higher degree,582090,1738257751370,1738257169280,"I'm sorry, we don't have raspberry cake. We have raspberry pie.",female,cafe-pie,English,106999,cafe,4,main
230,27,"Hawaii is a hot island people often travel to for pleasure. A Hawaiian shirt is a colourful and thin shirt that people wear on a holiday such as to Hawaii. Since the customer asked for a Hawaiian shirt, it's possible they are going on holiday to a hot place and want the shirt to stay cool. Since the shop doesn't have any of those shirts, the sales assistant reccomended short because they are another clothing item that can help to keep you cool so would be suitable to wear in hot weather while sweaters and socks are used to keep warm",goals,,main,Graduated College,623642,1738257518114,1738256894472,"I'm sorry, we don't have Hawaiian shirts. We have shorts.",female,clothing-clothes,english urdu,268804,clothing,1,main
230,27,"Out of all the animals at the zoo today, a lion is the most similar to a lion. They are both large cats but have different colour coats. Showing the child the tiger may satisfy his desire to see a lion since they are similar. ",goals,,main,Graduated College,623642,1738257518114,1738256894472,"I'm sorry, we don't have a tiger. We have a lion.",female,zoo-xl,english urdu,96816,zoo,2,main
231,38,The gym doesn't do yoga but the receptionist thought that pilates might be something the person would be interested in as they like doing sports classes.,goals,,main,Graduated High-school,470007,1738257540742,1738257070735,"I'm sorry, we don't have yoga classes. We have a pilates class.",female,gym-yoga,english,85401,gymActivities,2,main
231,38,Water ski equipment would be the next best thing the company has to offer. They don't have what the customer wanted but wanted to suggest something similar.,goals,,main,Graduated High-school,470007,1738257540742,1738257070735,"I'm sorry, we don't have jet skis. We have water ski equipment.",female,waterSport-motor,english,65040,waterSport,5,main
232,37,"The consultant recognised that the young woman was interested in music, so offered details on the music event being hosted.",goals,,main,Higher degree,249284,1738257547883,1738257298599,"I'm sorry, we don't have a club event with electronic music. We have a club event with a hip hop DJ.",male,touristInfo-clubbing,English ,44571,touristInfo,3,main
232,37,"Gymnastics is similar to acrobatics, so offering the alternative is fitting with the kid's enquiry.",goals,,main,Higher degree,249284,1738257547883,1738257298599,"I'm sorry, we don't have a gymnastics class. We have an acrobatics class.",male,kidsActivities-sports,English ,40899,kidsActivities,4,main
234,23,"Cake and pie are different in their construction, however someone who wants raspberry cake may appreciate raspberry pie as an alternative if they are looking for a raspberry flavour.",goals,,main,Higher degree,340163,1738257681042,1738257340879,"I'm sorry, we don't have raspberry cake. We have raspberry pie.",female,cafe-pie,English,70173,cafe,1,main
234,23,"The sales assistant is redirecting the customer to a laptop of the same brand as they asked for, rather than a desktop, which is a different form factor, or a games console which solves a different purpose altogether.",goals,,main,Higher degree,340163,1738257681042,1738257340879,"I'm sorry, we don't have a MacBook Pro. We have a MacBook Air.",female,electronics-laptop,English,48846,electronics,2,main
234,23,"Both Sauvignon Blanc and Chardonnay are types of wine, and therefore might be suitable as alternatives to each other. The other available options are craft beer, which although is alcoholic is not that similar to what was asked for, or iced coffee which is distinctly different.",goals,,main,Higher degree,340163,1738257681042,1738257340879,"I'm sorry, we don't have Sauvignon Blanc. We have Chardonnay.",female,bar-whiteWine,English,57016,bar,3,main
236,41,The woman had asked is there was a specific club event and by giving a reasonable alternative the young lady might want to go to that instead.,goals,,main,Graduated High-school,435522,1738257846903,1738257411381,"I'm sorry, we don't have a club event with electronic music. We have a club event with a hip hop DJ.",female,touristInfo-clubbing,English,99334,touristInfo,3,main
236,41,The suite in the four star would be as close to the request of the five star hotel. The other options available are very different.,goals,,main,Graduated High-school,435522,1738257846903,1738257411381,"I'm sorry, we don't have a single room in a five-star hotel. We have a suite in a four-star hotel.",female,bookingAgency-highClassAccommodation,English,53444,bookingAgency,5,main
241,60,The sales assistant wants to be helpful and offer an alternative product to the customer that the customer may want to buy instead of the one they wanted initially. The Xbox may be the closest alternative.,goals,,main,Graduated High-school,623289,1738257972135,1738257348846,"I'm sorry, we don't have a PlayStation. We have an Xbox.",female,electronics-console,English,126697,electronics,2,main
241,60,The kickboxing class is the closest alternative class type to the boxing class that the woman was looking for. ,goals,,main,Graduated High-school,623289,1738257972135,1738257348846,"I'm sorry, we don't have boxing classes. We have kickboxing classes.",female,gym-boxing,English,96823,gymActivities,3,main
241,60,"The man is looking for a high standard of accommodation, the cheap bed and breakfast is a non-starter and the four star hotel would seem to be the closer of the remaining alternatives. The agent may also be thinking about the commission they would gain from the man booking something with them, rather than walking out the door and booking somewhere else with another agent.",goals,,main,Graduated High-school,623289,1738257972135,1738257348846,"I'm sorry, we don't have a single room in a five-star hotel. We have a suite in a four-star hotel.",female,bookingAgency-highClassAccommodation,English,224418,bookingAgency,4,main
238,22,"Since the bar offers iced coffee but not iced tea, the bartender suggested a drink that is similar to what the woman requested and is availible.",goals,,main,Graduated College,233283,1738257864471,1738257631188,"I'm sorry, we don't have iced tea. We have iced coffee.",female,bar-tea,English,56405,bar,1,main
238,22,"Since acrobatics and gymnastics have similar activities, the teacher suggested the activity that is available and aligns with the child's interests.",goals,,main,Graduated College,233283,1738257864471,1738257631188,"I'm sorry, we don't have a gymnastics class. We have an acrobatics class.",female,kidsActivities-sports,English,46990,kidsActivities,3,main
239,24,"The waiter mentioned Cheese pizza because this would also be classed as a vegetarian pizza option and pepperoni would not be, and it is also an item that exists on the menu. The waiter didn't mention Raspberry Pie because this is a diffent type of food entirely but stayed on the lines of Pizza as this was the orginial request but in a different format.",goals,,main,Graduated College,555793,1738257891040,1738257335247,"I'm sorry, we don't have veggie pizza. We have cheese pizza.",male,cafe-pizza,English,123870,cafe,1,main
239,24,"The response is reasonable beacuse acrobatics and gymnastics share similar traits, so it would be a suitable alternative to suggest, compared to Karate which is another sport entirely and watercolor painting. By staying in the same sports class, it means that hopefully the teacher can get the kid to consider this as it is simialr to his original request of gymnastics and hopefully hes is satisfied.",goals,,main,Graduated College,555793,1738257891040,1738257335247,"I'm sorry, we don't have a gymnastics class. We have an acrobatics class.",male,kidsActivities-sports,English,130425,kidsActivities,3,main
239,24,"Karate is a different form of martial art which is not simialr to the original request of Boxing. Kickboxing is a variation of boxing which also encorporates a different component of fighting which is kicking, but shares the most similarities to the original request from the woman, and therefore the best and closest choice that would satisfy what the woman is looking for.",goals,,main,Graduated College,555793,1738257891040,1738257335247,"I'm sorry, we don't have boxing classes. We have kickboxing classes.",male,gym-boxing,English,117747,gymActivities,4,main
240,52,"The sales assistant’s mention of shorts instead of something unrelated is a reasonable and helpful response, as it aligns with the customer’s likely intent for warm-weather clothing.",goals,,main,Graduated High-school,261066,1738257918568,1738257657502,"I'm sorry, we don't have Hawaiian shirts. We have shorts.",male,clothing-clothes,English,41895,clothing,4,main
240,52,"The receptionist’s mention of pilates is a reasonable and helpful response because it offers a class with a similar focus to yoga, keeping the suggestion relevant to what the customer may be interested in.",goals,,main,Graduated High-school,261066,1738257918568,1738257657502,"I'm sorry, we don't have yoga classes. We have a pilates class.",male,gym-yoga,English,43992,gymActivities,5,main
249,57,The sales assistant has correctly assumed that the customer is looking for jewellery so has offered a reasonable alternative.,goals,,main,Graduated High-school,844720,1738258193935,1738257349215,"I'm sorry, we don't have earrings. We have necklaces.",male,clothing-acc,English,52879,clothing,2,main
249,57,Thrillers and mystery novels are written in very similar styles and are both designed to appeal to a similar type of reader. If you read psychological thrillers then you would probably enjoy reading mystery novels too. ,goals,,main,Graduated High-school,844720,1738258193935,1738257349215,"I'm sorry, we don't have psychological thrillers. We have mystery novels.",male,books-fantasy,English,137039,books,5,main
250,35,Iguanas and chameleons are both from the reptile family and are often confused for each other. When the child was asking for a chameleon it is possible they meant ‘reptile ‘ in general however the friend clarified the specific type of reptile that is available to see. ,goals,,main,Graduated College,484913,1738258197632,1738257712719,"I'm sorry, we don't have a chameleon. We have iguanas.",female,zoo-reptiles,English ,124690,zoo,2,main
250,35,"Gymnastics and acrobatics are similar activities with similar skills and outcomes. If a child is interested in gymnastics but gymnastics isn’t available, acrobatics is the nearest available option.",goals,,main,Graduated College,484913,1738258197632,1738257712719,"I'm sorry, we don't have a gymnastics class. We have an acrobatics class.",female,kidsActivities-sports,English ,85830,kidsActivities,4,main
250,35,The woman has asked for a club event with a specific type of music. This type of music isn’t available so the consultant is advising the woman of a club event with a different type of music.,goals,,main,Graduated College,484913,1738258197632,1738257712719,"I'm sorry, we don't have a club event with electronic music. We have a club event with a hip hop DJ.",female,touristInfo-clubbing,English ,91472,touristInfo,5,main
242,30,"The agent mentioned the next best option of what they had available to the man. The response is reasonable because based on what the man had asked for, it would be fair to assume that he is seeking a certain type of luxury during his stay and a cheap bed-and-breakfast would have been unsuitable to suggest, especially if you are bypassing a more suitable option.",goals,,main,Higher degree,566016,1738258041096,1738257475080,"I'm sorry, we don't have a single room in a five-star hotel. We have a suite in a four-star hotel.",female,bookingAgency-highClassAccommodation,English,118684,bookingAgency,1,main
245,28,Earrings and necklaces are similar decorative items and can also go together. Someone who is looking for earrings is quite likely to look for necklaces also.,goals,,main,Graduated College,423480,1738258073704,1738257650224,"I'm sorry, we don't have earrings. We have necklaces.",male,clothing-acc,English,61340,clothing,4,main
243,48,"Because although its not directly what the friend wants, it is quite similar.",goals,,main,Higher degree,384417,1738258049521,1738257665104,"I'm sorry, we don't have watercolor paintings. We have an oil painting.",male,interior-deco,English,83850,interior,3,main
243,48,"In this case mystery novels could be the closest match to what the student wants, might even be what the student wants.",goals,,main,Higher degree,384417,1738258049521,1738257665104,"I'm sorry, we don't have psychological thrillers. We have mystery novels.",male,books-fantasy,English,63783,books,4,main
243,48,It is reasonable as the man might settle for the 4* alternative as he may be in desperate need of accommodation.,goals,,main,Higher degree,384417,1738258049521,1738257665104,"I'm sorry, we don't have a single room in a five-star hotel. We have a suite in a four-star hotel.",male,bookingAgency-highClassAccommodation,English,69201,bookingAgency,5,main
247,77,the woman wants a wine the bar doesn't sell but the alternative is not that far removed. Just a different flavour.,goals,,main,Graduated High-school,429776,1738258157431,1738257727655,"I'm sorry, we don't have Sauvignon Blanc. We have Chardonnay.",female,bar-whiteWine,english,84997,bar,3,main
251,31,My friend's response is reasonable because lions and Tigers are closely related big cats that belong to the same biological family. Lions are also the closest alternatives to Tigers so makes perfect sense for it to be mentioned rather than any other animal. This means the kids can still have same excitement they expected while seeing lion instead of tiger ,goals,,main,Higher degree,1291783,1738258261927,1738256970144,"I'm sorry, we don't have a tiger. We have a lion.",female,zoo-xl,English,327594,zoo,3,main
251,31,"It is reasonable for the receptionist to mention pilates class when asked about yoga class rather than something else because both are mind-body exercises that focus on strength, flexibility, breath control. This means that the customer could get the same benefit they wanted from a yoga class in pilates class instead. ",goals,,main,Higher degree,1291783,1738258261927,1738256970144,"I'm sorry, we don't have yoga classes. We have a pilates class.",female,gym-yoga,English,317734,gymActivities,4,main
254,40,"Dalmatians and golden retrievers are both breeds of medium sized dogs. It is reasonable for the adoption center to mention golden retrievers because both dog breeds have qualities in temperament, size and care needs that are likeable to each other. And if a person wanted to give a dog a home, the breed doesn't always play a part in the decision.",goals,Interesting study - Thank you,main,Graduated College,1329058,1738258601470,1738257272412,"I'm sorry, we don't have dalmatians. We have golden retrievers.",female,petAdoption-dogs,English,284619,petAdoption,3,main
254,40,"The consultant's response is reasonable because the circus show would have the potential to offer the same joy, excitement and fun as a theatre performance. The young woman was asking about a theatre performance for children. There are similarities between going to the theatre and circus.",goals,Interesting study - Thank you,main,Graduated College,1329058,1738258601470,1738257272412,"I'm sorry, we don't have a theatre performance for children. We have a circus show.",female,touristInfo-childTheatre,English,338167,touristInfo,4,main
254,40,The offer of a room in a cheap bed and breakfast would meet the young man's needs of a bed for the night tomorrow. A youth hostel and bed & breakfast have a likeness and both would be accommodating for the person looking for a bed for tomorrow night.,goals,Interesting study - Thank you,main,Graduated College,1329058,1738258601470,1738257272412,"I'm sorry, we don't have a bed in the youth hostel. We have a room in a cheap bed-and-breakfast.",female,bookingAgency-lowClassAccommodation,English,328529,bookingAgency,5,main
256,61,"From the way the customer phrased their enquiry, they indicated that they were interested in a cold beverage that didn't contain alcohol and was caffeinated. This ruled out Chardonnay, containing alcohol and soda which is alcohol and caffeine free. Therefore the bartender offered an alternative drink closest to that which the customer asked about, since he doesn't sell iced tea.",goals,,main,Graduated High-school,1222653,1738258898499,1738257675846,"I'm sorry, we don't have iced tea. We have iced coffee.",male,bar-tea,English,223515,bar,1,main
256,61," because the customer was enquiring about a single hotel room, the agent ruled out offering a complete apartment that may well have been out of budget for the customer. Using his experience, the agent decided to offer an alternative that seemed most similar to the customer's original enquiry, another hotel room, assuming that it would be more suitable for the budget and was the option that the customer was more likely to purchase.",goals,,main,Graduated High-school,1222653,1738258898499,1738257675846,"I'm sorry, we don't have a single room in a five-star hotel. We have a suite in a four-star hotel.",male,bookingAgency-highClassAccommodation,English,279906,bookingAgency,2,main
256,61,"of the items on offer, the gingerbread most resembles the item that the passenger was enquiring about. Cigarettes are not at all like cookies and so could be ruled out. Granola bars are a bit more like cookies, but have a different shape and texture. Gingerbread often has the look of a cookie and is similar in texture, while being somewhat softer and easier to chew. Therefore the attendant decided that gingerbread represented the best alternative to offer over the cookies the passenger requested.",goals,,main,Graduated High-school,1222653,1738258898499,1738257675846,"I'm sorry, we don't have cookies. We have gingerbread.",male,dutyFree-sweets,English,305535,dutyFree,3,main
256,61,"the friend assumed that the friend's child was interested in seeing something from the lizard family. Lions are mammals so do not fit that bill. Turtles are amphibians, a little similar to lizards in some ways, but not so close that they could be an alternative suggestion. Iguanas and chameleons are both members of the lizard family, so the friend was justified in offering iguanas as an alternative to the child's enquiry.


",goals,,main,Graduated High-school,1222653,1738258898499,1738257675846,"I'm sorry, we don't have a chameleon. We have iguanas.",male,zoo-reptiles,English,285004,zoo,4,main
257,41,"The person mentioned wanting a five star hotel, so the closest option to that rating is a four-star hotel. A suite is too much space but it is the best of the 3 options given that an apartment is even larger but would not come with the accommodations of a hotel.",goals,,main,Graduated College,489965,1738259241022,1738258751057,"I'm sorry, we don't have a single room in a five-star hotel. We have a suite in a four-star hotel.",other,bookingAgency-highClassAccommodation,English,128220,bookingAgency,1,main
258,67,"The hosts were prepared to offer another game that they had arranged
that evening and although the friend would have preferred to play 
scrabble the response was reasonable giving the friend another opportunity to play a different game ",goals,,main,Did not graduate High-school,1074220,1738260076874,1738259002654,"I'm sorry, we don't have Scrabble. We have Monopoly.",male,friendsActivities-boardGames,British,250776,friendsActivities,2,main
258,67,The small designer clothing store was doing her best to provide another option to what the customer required and gave Bo a reasonable choice of different options which were avaliable,goals,,main,Did not graduate High-school,1074220,1738260076874,1738259002654,"I'm sorry, we don't have Hawaiian shirts. We have shorts.",male,clothing-clothes,British,255920,clothing,4,main
258,67,The bookshop provided various books which was quite varied but the student really only wanted a book based on love poems and shows that the cashier was prepared to offer other opportunities ,goals,,main,Did not graduate High-school,1074220,1738260076874,1738259002654,"I'm sorry, we don't have love poems. We have books of French love letters.",male,books-romance,British,212624,books,5,main
174,19,The sales assistant’s job is to sell whatever the store has in stock and is selling. Because she  says “we have necklaces” means that they either don’t have any earrings in stock or they don’t sell earrings at all.,literal,,main,Graduated College,644491,1736123053399,1736122408908,"I'm sorry, we don't have earrings. We have necklaces.",female,clothing-acc,"English, Creole, French",245719,clothing,1,main
174,19,The cashier responds by saying what they currently sell which is mystery novels.,literal,,main,Graduated College,644491,1736123053399,1736122408908,"I'm sorry, we don't have psychological thrillers. We have mystery novels.",female,books-fantasy,"English, Creole, French",107002,books,4,main
174,19,The aunt’s response is to state what she currently sells which isn’t what the customer inquired about.,goals,,main,Graduated College,644491,1736123053399,1736122408908,"I'm sorry, we don't have watercolor paintings. We have an oil painting.",female,interior-deco,"English, Creole, French",72837,interior,5,main
248,35,"It is reasonable because it is polite, it answers the question and it then goes on the clarify what they do have.",other,,main,Graduated High-school,550371,1738258173585,1738257623214,"I'm sorry, we don't have jet skis. We have water ski equipment.",female,waterSport-motor,english,292577,waterSport,1,main
253,35,Again its reasonable because they are being upfront and honest about the classes they have ,literal,,main,Higher degree,350059,1738258567709,1738258217650,"I'm sorry, we don't have a gymnastics class. We have an acrobatics class.",male,kidsActivities-sports,English,30236,kidsActivities,2,main
253,35,They are again being honest about what the have available and give an alternative to a class they could do,literal,,main,Higher degree,350059,1738258567709,1738258217650,"I'm sorry, we don't have boxing classes. We have kickboxing classes.",male,gym-boxing,English,123599,gymActivities,4,main
260,53,"The response is reasonable because he is giving info on what they actually do have, so the caller can decide if they want to do that activity instead of using a jetski",literal,Thanks!,main,Graduated College,855621,1738261729845,1738260874224,"I'm sorry, we don't have jet skis. We have water ski equipment.",male,waterSport-motor,English,260173,waterSport,1,main
260,53,The teacher is giving information on the class that actually is available. They are being polite by starting by saying 'I'm sorry',other,Thanks!,main,Graduated College,855621,1738261729845,1738260874224,"I'm sorry, we don't have a pottery class. We have a watercolor painting class.",male,kidsActivities-crafts,English,154036,kidsActivities,2,main
260,53,"The sales assistant starts by being polite and saying,'I'm sorry,' Then they say what is available for sale.",other,Thanks!,main,Graduated College,855621,1738261729845,1738260874224,"I'm sorry, we don't have Hawaiian shirts. We have shorts.",male,clothing-clothes,English,129163,clothing,3,main
260,53,"The cashier responds by being polite by saying 'I'm Sorry,' and then giving an alternate option of what is available for sale. Love letters express similar emotions.",similarity,Thanks!,main,Graduated College,855621,1738261729845,1738260874224,"I'm sorry, we don't have love poems. We have books of French love letters.",male,books-romance,English,163275,books,4,main
168,61,"Once again, he is simply explaining that what she is asking they do not have, but he is offering an alternative.",goals,,main,Graduated College,340454,1736121861173,1736121520719,"I'm sorry, we don't have a club event with electronic music. We have a club event with a hip hop DJ.",female,touristInfo-clubbing,English ,38563,touristInfo,3,main
169,40,Sorry we don’t have Scramble but could play next time. We can purchase at the store. For now we can play the fun game monopoly. ,other,,main,Graduated College,457768,1736121908295,1736121450527,"I'm sorry, we don't have Scrabble. We have Monopoly.",female,friendsActivities-boardGames,English,114042,friendsActivities,1,main
169,40,The Mac would be as close to what you’re looking for. We can call you if something comes in to your liking.,goals,,main,Graduated College,457768,1736121908295,1736121450527,"I'm sorry, we don't have a MacBook Pro. We have a MacBook Air.",female,electronics-laptop,English,81541,electronics,2,main
169,40,If we get a specialist we may start having yoga class. For now we have Pilates you may enjoy,other,,main,Graduated College,457768,1736121908295,1736121450527,"I'm sorry, we don't have yoga classes. We have a pilates class.",female,gym-yoga,English,95467,gymActivities,3,main
