submission_id,age,comments,correct_response,education,experiment_duration,experiment_end_time,experiment_start_time,gender,languages,responseTime,settingName,trialNr,trial_type,itemName,answer,response_option,option_category,category,vignette_start,vignette_continuation,question,taciturn,answer_template,itemQuestion,competitor,sameCategory,otherCategory,character_template
4717,55,NA,main,Higher degree,197577,1672240332052,1672240134475,female,English,42076,interior,3,main,interior-green,"I do not have an aloe vera plant right now, but I do have an agave plant. Would you be interested in that instead?",agave,competitor,competitor,Your aunt likes to decorate the house and often crafts decorations herself. She often gives away crafts and plants to friends and family. Your aunt currently has,\n\nA friend just moved and wants to get something to decorate her new apartment. She visits your aunt and asks her:,Do you have an aloe vera plant?,"I'm sorry, I don’t have an aloe vera.",I have *.,an aloe vera plant,an agave plant,tulips,an oil painting,Your aunt replies:
4667,34,thanks,main,Did not graduate High-school,150388,1672171729239,1672171578851,female,english,38993,friendsActivities,1,main,friendsActivities-boardGames,"I don't but we do have monopoly, would that be ok instead?",Monopoly,competitor,competitor,"You are at a casual Saturday night get together with your friends at a friend’s house. For activities, the friend prepared",\n\nOne friend asks the host:,Do you have Scrabble?,"I'm sorry, I don't have Scrabble.",I have *.,Scrabble,Monopoly,checkers,some movies,The host replies:
4636,34,NA,main,Graduated High-school,327744,1672165996743,1672165668999,male,English,111712,interior,1,main,interior-green,"I don't have an aloe vera plant right now, I do have an agave plant which looks very similar if you want it.",agave,competitor,competitor,Your aunt likes to decorate the house and often crafts decorations herself. She often gives away crafts and plants to friends and family. Your aunt currently has,\n\nA friend just moved and wants to get something to decorate her new apartment. She visits your aunt and asks her:,Do you have an aloe vera plant?,"I'm sorry, I don’t have an aloe vera.",I have *.,an aloe vera plant,an agave plant,tulips,an oil painting,Your aunt replies:
4730,30,NA,main,Higher degree,280125,1672240409731,1672240129606,female,English,48877,interior,3,main,interior-deco,"I don't have anyy water colour paintings, but I do have an oil painting if you'd like to see it?",oil painting,competitor,competitor,Your aunt likes to decorate the house and often crafts decorations herself. She often gives away crafts and plants to friends and family. Your aunt currently has,\n\nA friend just moved and wants to get something to decorate her new apartment. She visits your aunt and asks her:,Do you have watercolour paintings?,"I'm sorry, I don’t have watercolor paintings.",I have *.,watercolor paintings,an oil painting,some printed photographs,an agave plant,Your aunt replies:
4661,70,NA,main,Graduated High-school,355447,1672168857407,1672168501960,female,English,52104,zoo,2,main,zoo-reptiles,I don’t think they have chameleons but we can have a look at the iguanas.,iguana,competitor,competitor,You and a group of friends are at the zoo today. You all carefully studied the map of the zoo and saw that there is,\n\nOne friend with an eight-year-old kid arrives late. The kid runs up to one of your friend impatiently and asks:,Can we see the chameleon?,"I'm sorry, they don't have chameleons here.",They have *.,a chameleon,iguanas,turtles,a lion,Your friend replies:
4704,51,NA,main,Graduated High-school,239915,1672238949713,1672238709798,female,English,69952,books,1,main,books-romance,"I don't think we have books on love poems, but we do have books of French love letters.",French love letters,competitor,competitor,You are at a bookshop in a small town. The shop currently has,\n\nA student walks in and asks the cashier:,Do you have a book of love poems?,"I’m sorry, we don’t have love poems.",We sell *.,love poems,books of French love letters,historical dramas,mystery novels,The cashier replies:
4677,33,an actual enjoyable survey. thanks! :),main,Graduated College,332258,1672171893603,1672171561345,other,English,26030,interior,5,main,interior-deco,"I don't, but I do have an oil painting.",oil painting,competitor,competitor,Your aunt likes to decorate the house and often crafts decorations herself. She often gives away crafts and plants to friends and family. Your aunt currently has,\n\nA friend just moved and wants to get something to decorate her new apartment. She visits your aunt and asks her:,Do you have watercolour paintings?,"I'm sorry, I don’t have watercolor paintings.",I have *.,watercolor paintings,an oil painting,some printed photographs,an agave plant,Your aunt replies:
4699,58,NA,main,Graduated College,369913,1672237275084,1672236905171,female,English,81888,interior,4,main,interior-deco,I dont but would let you have a very nice oil painting now or perhaps paint you a watercolour in the next few weeks.,oil painting,competitor,competitor,Your aunt likes to decorate the house and often crafts decorations herself. She often gives away crafts and plants to friends and family. Your aunt currently has,\n\nA friend just moved and wants to get something to decorate her new apartment. She visits your aunt and asks her:,Do you have watercolour paintings?,"I'm sorry, I don’t have watercolor paintings.",I have *.,watercolor paintings,an oil painting,some printed photographs,an agave plant,Your aunt replies:
4654,53,NA,main,Higher degree,262809,1672168750445,1672168487636,male,English,94978,interior,1,main,interior-deco,I have a lovely oil painting if you want it.,oil painting,competitor,competitor,Your aunt likes to decorate the house and often crafts decorations herself. She often gives away crafts and plants to friends and family. Your aunt currently has,\n\nA friend just moved and wants to get something to decorate her new apartment. She visits your aunt and asks her:,Do you have watercolour paintings?,"I'm sorry, I don’t have watercolor paintings.",I have *.,watercolor paintings,an oil painting,some printed photographs,an agave plant,Your aunt replies:
4611,22,NA,main,Graduated College,108851,1672164802989,1672164694138,female,English,28643,friendsActivities,4,main,friendsActivities-videoEntertainment,"I have some movies we could watch, but they aren't on Netflix.",movie,competitor,competitor,"You are at a casual Saturday night get together with your friends at a friend’s house. For activities, the friend prepared",\n\nOne friend asks the host:,Do you have Netflix?,"I'm sorry, I don't have Netflix.",I have *.,Netflix,some movies,Xbox games,Monopoly,The host replies:
4737,69,NA,main,Graduated College,415692,1672240553259,1672240137567,male,English,100690,books,1,main,books-fantasy,I have some mystery novels which I think you will love.,mystery,competitor,competitor,You are at a bookshop in a small town. The shop currently has,\n\nA student walks in and asks the cashier:,Do you sell psychological thrillers?,"I’m sorry, we don’t sell psychological thrillers.",We sell *.,psychological thrillers,mystery novels,adventure novels,books of French love letters,The cashier replies:
4617,24,NA,main,Graduated College,183518,1672164871173,1672164687655,female,"English, Japanese",34546,friendsActivities,5,main,friendsActivities-videoEntertainment,I haven't got Netflix but I've got some movies we could watch. Take a look and pick out something you like!,movie,competitor,competitor,"You are at a casual Saturday night get together with your friends at a friend’s house. For activities, the friend prepared",\n\nOne friend asks the host:,Do you have Netflix?,"I'm sorry, I don't have Netflix.",I have *.,Netflix,some movies,Xbox games,Monopoly,The host replies:
4743,55,NA,main,Graduated High-school,670232,1672240799995,1672240129763,male,english,130194,petAdoption,3,main,petAdoption-dogs,I'm afraid not but we do have the cutest golden retriever that is looking for a loving home would you like to meet him?,golden retriever,competitor,competitor,You are at an adoption center for rescued animals. Currently there are the following animals at the center:,\n\nA family comes in and asks an employee:,Do you have any Dalmatians?,"I'm sorry, we don’t have any dalmatians.",We have *.,dalmatians,golden retrievers,chihuahuas,gerbils,The employee replies:
4625,40,NA,main,Graduated College,106425,1672165773127,1672165666702,female,English,19911,clothing,2,main,clothing-clothes,I'm afraid we don't but we do have other shorts.,shorts,competitor,competitor,You are at a small designer clothing store. The store currently has the following items in stock:,\n\nA customer comes in and asks the sales assistant:,Do you have any Hawaiian shirts?,"I'm sorry, we don’t have any Hawaiian shirts.",We have *.,Hawaiian shirts,shorts,sweatshirts,necklaces,The sales assistant replies:
4656,62,NA,main,Graduated High-school,305912,1672168784565,1672168478653,female,english,67440,zoo,2,main,zoo-xl,I'm not sure that there is a tiger in this zoo. But there is definitely a lion that we can go to see,lion,competitor,competitor,You and a group of friends are at the zoo today. You all carefully studied the map of the zoo and saw that there is,\n\nOne friend with an eight-year-old kid arrives late. The kid runs up to one of your friend impatiently and asks:,Can we see the tiger?,"I’m sorry, they don’t have a tiger here.",They have *.,a tiger,a lion,a giraffe,iguanas,Your friend replies:
4679,36,NA,main,Graduated High-school,371599,1672171954719,1672171583120,male,English,88536,gymActivities,3,main,gym-yoga,"I'm really sorry, we don't currently offer yoga, what will do is mention it to our manager as other people have also asked about yoga. In the meantime would you like to try a free plates session?",pilates,competitor,competitor,You are at the reception desk of a gym. The gym currently offers,\n\nA woman walks in and asks the receptionist:,Do you offer yoga classes?,"I’m sorry, we don’t have yoga.",We have *.,yoga classes,a pilates class,zumba classes,kickboxing,The receptionist replies:
4710,47,NA,main,Graduated High-school,159101,1672240286434,1672240127333,female,English,34187,bar,2,main,bar-tea,I'm so sorry we don't serve iced tea. I can recommend our iced coffee though.,iced coffee,competitor,competitor,You are a bartender in a hotel bar. The bar serves only,\n\nA woman walks in. She says to the bartender:,Do you have iced tea?,"I'm sorry, we don't have iced tea today.",We have *.,iced tea,iced coffee,soda,Chardonnay,The bartender replies:
4661,70,NA,main,Graduated High-school,355447,1672168857407,1672168501960,female,English,50799,clothing,3,main,clothing-acc,I’m sorry but we do not stock earrings but have a wide choice of necklaces.,necklace,competitor,competitor,You are at a small designer clothing store. The store currently has the following items in stock:,\n\nA customer comes in and asks the sales assistant:,Do you have any earrings?,"I'm sorry, we don’t have any earrings.",We have *.,earrings,necklaces,sunglasses,shorts,The sales assistant replies:
4624,22,NA,main,Higher degree,111973,1672165025747,1672164913774,female,English,26446,zoo,5,main,zoo-reptiles,"I'm sorry honey, there are no chameleons! Would you like to see an iguana instead?",iguana,competitor,competitor,You and a group of friends are at the zoo today. You all carefully studied the map of the zoo and saw that there is,\n\nOne friend with an eight-year-old kid arrives late. The kid runs up to one of your friend impatiently and asks:,Can we see the chameleon?,"I'm sorry, they don't have chameleons here.",They have *.,a chameleon,iguanas,turtles,a lion,Your friend replies:
4727,36,NA,main,Graduated High-school,186614,1672240399192,1672240212578,male,English,35744,interior,4,main,interior-deco,"I'm sorry I don't, but i do have an oil painting",oil painting,competitor,competitor,Your aunt likes to decorate the house and often crafts decorations herself. She often gives away crafts and plants to friends and family. Your aunt currently has,\n\nA friend just moved and wants to get something to decorate her new apartment. She visits your aunt and asks her:,Do you have watercolour paintings?,"I'm sorry, I don’t have watercolor paintings.",I have *.,watercolor paintings,an oil painting,some printed photographs,an agave plant,Your aunt replies:
4680,56,NA,main,Graduated High-school,408270,1672171995137,1672171586867,female,English,31384,clothing,5,main,clothing-acc,I’m sorry I havnt but I do have some necklaces if your interested,necklace,competitor,competitor,You are at a small designer clothing store. The store currently has the following items in stock:,\n\nA customer comes in and asks the sales assistant:,Do you have any earrings?,"I'm sorry, we don’t have any earrings.",We have *.,earrings,necklaces,sunglasses,shorts,The sales assistant replies:
4682,56,Thank you,main,Graduated College,534728,1672172136788,1672171602060,male,English,94080,petAdoption,4,main,petAdoption-hamster,"I’m sorry we don’t at the moment but, we do have gerbils. They’re similar but easier to look after.",gerbil,competitor,competitor,You are at an adoption center for rescued animals. Currently there are the following animals at the center:,\n\nA family comes in and asks an employee:,Do you have any hamsters?,"I'm sorry, we don’t have any hamsters.",We have *.,hamsters,gerbils,ferrets,golden retrievers,The employee replies:
4741,63,All worked fine,main,Graduated High-school,462786,1672240717892,1672240255106,male,English,108372,gymActivities,3,main,gym-yoga,"I'm sorry we don't offer Yoga currently, but our pilates classes are very popular as it is seen as the next big thing. Are you interested in the social or technical aspects?",pilates,competitor,competitor,You are at the reception desk of a gym. The gym currently offers,\n\nA woman walks in and asks the receptionist:,Do you offer yoga classes?,"I’m sorry, we don’t have yoga.",We have *.,yoga classes,a pilates class,zumba classes,kickboxing,The receptionist replies:
4613,30,NA,main,Graduated College,112591,1672164823439,1672164710848,female,English,22371,bar,2,main,bar-tea,"I'm sorry we don't, but we do have iced coffee if that's any good for you?",iced coffee,competitor,competitor,You are a bartender in a hotel bar. The bar serves only,\n\nA woman walks in. She says to the bartender:,Do you have iced tea?,"I'm sorry, we don't have iced tea today.",We have *.,iced tea,iced coffee,soda,Chardonnay,The bartender replies:
4727,36,NA,main,Graduated High-school,186614,1672240399192,1672240212578,male,English,39119,clothing,3,main,clothing-acc,"I'm sorry we don't, we do have necklaces though if you're interested?",necklace,competitor,competitor,You are at a small designer clothing store. The store currently has the following items in stock:,\n\nA customer comes in and asks the sales assistant:,Do you have any earrings?,"I'm sorry, we don’t have any earrings.",We have *.,earrings,necklaces,sunglasses,shorts,The sales assistant replies:
4752,54,NA,main,Graduated High-school,196276,1672243936719,1672243740443,male,English,34584,petAdoption,3,main,petAdoption-hamster,"I'm sorry, no, we don't have any at the moment. Would you consider a gerbil?",gerbil,competitor,competitor,You are at an adoption center for rescued animals. Currently there are the following animals at the center:,\n\nA family comes in and asks an employee:,Do you have any hamsters?,"I'm sorry, we don’t have any hamsters.",We have *.,hamsters,gerbils,ferrets,golden retrievers,The employee replies:
4752,54,NA,main,Graduated High-school,196276,1672243936719,1672243740443,male,English,30548,electronics,2,main,electronics-console,"I'm sorry, no, we don't have one in stock at the moment. Are you interested in an Xbox?",Xbox,competitor,competitor,You are at a second hand electronics store. The store currently has,\n\nA young man walks in and asks the sales assistant:,Do you have a PlayStation?,"I’m sorry, we don’t have a PlayStation.",We have *.,a PlayStation,an Xbox,a Gameboy,a MacBook Air,The sales assistant replies:
4752,54,NA,main,Graduated High-school,196276,1672243936719,1672243740443,male,English,25182,bar,5,main,bar-tea,"I'm sorry, no, we have iced coffee but no iced tea.",iced coffee,competitor,competitor,You are a bartender in a hotel bar. The bar serves only,\n\nA woman walks in. She says to the bartender:,Do you have iced tea?,"I'm sorry, we don't have iced tea today.",We have *.,iced tea,iced coffee,soda,Chardonnay,The bartender replies:
4726,53,NA,main,Graduated College,245193,1672240385441,1672240140248,male,English,40515,bar,1,main,bar-tea,"I'm sorry, we don't but we serve iced coffee",iced coffee,competitor,competitor,You are a bartender in a hotel bar. The bar serves only,\n\nA woman walks in. She says to the bartender:,Do you have iced tea?,"I'm sorry, we don't have iced tea today.",We have *.,iced tea,iced coffee,soda,Chardonnay,The bartender replies:
4623,55,Just to say good luck,main,Higher degree,312976,1672165009891,1672164696915,male,English,29874,gymActivities,5,main,gym-boxing,"I'm sorry, we only have kickboxing",kickboxing,competitor,competitor,You are at the reception desk of a gym. The gym currently offers,\n\nA woman walks in and asks the receptionist:,Do you offer boxing classes?,"I’m sorry, we don’t have boxing.",We have *.,boxing classes,kickboxing classes,karate classes,pilates,The receptionist replies:
4717,55,NA,main,Higher degree,197577,1672240332052,1672240134475,female,English,32617,bar,5,main,bar-whiteWine,I’m sorry.  The only wine was have right now is Chardonnay.  Would you like a glass of that?,Chardonnay,competitor,competitor,You are at a hotel bar. The bar serves only,\n\nA woman walks in. She says to the bartender:,Do you have Sauvignon Blanc?,"I'm sorry, we don't have Sauvignon Blanc today.",We have *.,Sauvignon Blanc,Chardonnay,craft beer,iced coffee,The bartender replies:
4723,32,NA,main,Graduated College,235583,1672240357967,1672240122384,female,English,44331,friendsActivities,5,main,friendsActivities-videoEntertainment,I've got some movies lined up for us to check out,movie,competitor,competitor,"You are at a casual Saturday night get together with your friends at a friend’s house. For activities, the friend prepared",\n\nOne friend asks the host:,Do you have Netflix?,"I'm sorry, I don't have Netflix.",I have *.,Netflix,some movies,Xbox games,Monopoly,The host replies:
4623,55,Just to say good luck,main,Higher degree,312976,1672165009891,1672164696915,male,English,41312,cafe,4,main,cafe-pizza,"If you accept cheese pizza is vegetarian, then yes we do",cheese,competitor,competitor,You are in a café. Today the café has,\n\nA customer asks the waiter:,Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza today.",We have *.,veggie pizza,cheese pizza,pepperoni pizza,raspberry pie,The waiter replies:
4649,41,NA,main,Higher degree,190399,1672168663366,1672168472967,male,english,15345,zoo,4,main,zoo-reptiles,it's an iguana.,iguana,competitor,competitor,You and a group of friends are at the zoo today. You all carefully studied the map of the zoo and saw that there is,\n\nOne friend with an eight-year-old kid arrives late. The kid runs up to one of your friend impatiently and asks:,Can we see the chameleon?,"I'm sorry, they don't have chameleons here.",They have *.,a chameleon,iguanas,turtles,a lion,Your friend replies:
4607,60,NA,main,Graduated College,232254,1672163527107,1672163294853,female,English,61124,interior,5,main,interior-green,No but I do have an agarve plant.,agave,competitor,competitor,Your aunt likes to decorate the house and often crafts decorations herself. She often gives away crafts and plants to friends and family. Your aunt currently has,\n\nA friend just moved and wants to get something to decorate her new apartment. She visits your aunt and asks her:,Do you have an aloe vera plant?,"I'm sorry, I don’t have an aloe vera.",I have *.,an aloe vera plant,an agave plant,tulips,an oil painting,Your aunt replies:
4727,36,NA,main,Graduated High-school,186614,1672240399192,1672240212578,male,English,22433,friendsActivities,5,main,friendsActivities-videoEntertainment,No but I do have some movies,movie,competitor,competitor,"You are at a casual Saturday night get together with your friends at a friend’s house. For activities, the friend prepared",\n\nOne friend asks the host:,Do you have Netflix?,"I'm sorry, I don't have Netflix.",I have *.,Netflix,some movies,Xbox games,Monopoly,The host replies:
4618,29,NA,main,Graduated College,195248,1672164888791,1672164693543,female,English,36281,interior,3,main,interior-green,No but I have an agave plant,agave,competitor,competitor,Your aunt likes to decorate the house and often crafts decorations herself. She often gives away crafts and plants to friends and family. Your aunt currently has,\n\nA friend just moved and wants to get something to decorate her new apartment. She visits your aunt and asks her:,Do you have an aloe vera plant?,"I'm sorry, I don’t have an aloe vera.",I have *.,an aloe vera plant,an agave plant,tulips,an oil painting,Your aunt replies:
4618,29,NA,main,Graduated College,195248,1672164888791,1672164693543,female,English,28609,books,4,main,books-romance,No but I have books of French love letters,French love letters,competitor,competitor,You are at a bookshop in a small town. The shop currently has,\n\nA student walks in and asks the cashier:,Do you have a book of love poems?,"I’m sorry, we don’t have love poems.",We sell *.,love poems,books of French love letters,historical dramas,mystery novels,The cashier replies:
4655,38,NA,main,Higher degree,281556,1672168763309,1672168481753,female,English,42572,interior,2,main,interior-green,No but I have this agave instead- would you like that?,agave,competitor,competitor,Your aunt likes to decorate the house and often crafts decorations herself. She often gives away crafts and plants to friends and family. Your aunt currently has,\n\nA friend just moved and wants to get something to decorate her new apartment. She visits your aunt and asks her:,Do you have an aloe vera plant?,"I'm sorry, I don’t have an aloe vera.",I have *.,an aloe vera plant,an agave plant,tulips,an oil painting,Your aunt replies:
4760,46,NA,main,Graduated High-school,303237,1672244035387,1672243732150,male,English,42894,bar,3,main,bar-whiteWine,No but i hVe a fantastic chardonnay,Chardonnay,competitor,competitor,You are at a hotel bar. The bar serves only,\n\nA woman walks in. She says to the bartender:,Do you have Sauvignon Blanc?,"I'm sorry, we don't have Sauvignon Blanc today.",We have *.,Sauvignon Blanc,Chardonnay,craft beer,iced coffee,The bartender replies:
4760,46,NA,main,Graduated High-school,303237,1672244035387,1672243732150,male,English,48708,gymActivities,4,main,gym-yoga,No but pilates may interest you,pilates,competitor,competitor,You are at the reception desk of a gym. The gym currently offers,\n\nA woman walks in and asks the receptionist:,Do you offer yoga classes?,"I’m sorry, we don’t have yoga.",We have *.,yoga classes,a pilates class,zumba classes,kickboxing,The receptionist replies:
4753,29,NA,main,Graduated College,214327,1672243942307,1672243727980,male,English,31839,touristInfo,4,main,touristInfo-childTheatre,No but there is a circus show happening if you are intrested?,circus,competitor,competitor,You are at a tourist office in a medium-sized tourist town. Today the following events are happening:,\n\nA young woman walks in and asks the consultant:,Is there a theatre performance for children today?,"I'm sorry, there is no theatre performance for children today.",There is *.,a theatre performance for children,a circus show,a trade fare,a club event with a hip hop DJ,The consultant replies:
4700,36,NA,main,Graduated College,361322,1672237280621,1672236919299,female,English,79828,touristInfo,1,main,touristInfo-childTheatre,No but there is a circus show?,circus,competitor,competitor,You are at a tourist office in a medium-sized tourist town. Today the following events are happening:,\n\nA young woman walks in and asks the consultant:,Is there a theatre performance for children today?,"I'm sorry, there is no theatre performance for children today.",There is *.,a theatre performance for children,a circus show,a trade fare,a club event with a hip hop DJ,The consultant replies:
4747,18,NA,main,Graduated High-school,104759,1672243832867,1672243728108,male,english,17488,touristInfo,4,main,touristInfo-clubbing,no but there is with a hip hop DJ,hip hop DJ,competitor,competitor,You are at a tourist office in a medium-sized tourist town. Today the following events are happening:,\n\nA young woman walks in and asks the consultant:,Is there a club event with electronic music today?,"I'm sorry, there is no club event with electronic music today.",There is *.,a club event with electronic music,a club event with a hip hop DJ,live jazz music,a circus show,The consultant replies:
4718,38,NA,main,Graduated High-school,194962,1672240333851,1672240138889,male,English,52845,bookingAgency,1,main,bookingAgency-lowClassAccommodation,No but we do have a cheap bed and breakfast available,bed-and-breakfast,competitor,competitor,You are in a travel booking agency in a medium-sized tourist town. The following types of accommodation are still available for tomorrow night:,\n\nA young man walks in and asks the agent:,Is there a bed in the youth hostel available for tomorrow night?,"I'm sorry, there are no more beds available in the youth hostel available for tomorrow night.",There is *.,a bed in the youth hostel,a room in a cheap bed-and-breakfast,a room in a budget hotel,a suite in a four-star hotel,The agent replies:
4636,34,NA,main,Graduated High-school,327744,1672165996743,1672165668999,male,English,31024,electronics,5,main,electronics-laptop,No but we do have a MacBook Air,MacBook Air,competitor,competitor,You are at a second hand electronics store. The store currently has,\n\nA young man walks in and asks the sales assistant:,Do you have a MacBook Pro?,"I’m sorry, we don’t have a MacBook Pro.",We have *.,a MacBook Pro,a MacBook Air,a desktop computer,an Xbox,The sales assistant replies:
4700,36,NA,main,Graduated College,361322,1672237280621,1672236919299,female,English,54707,electronics,5,main,electronics-laptop,No but we do have a MacBook Air?,MacBook Air,competitor,competitor,You are at a second hand electronics store. The store currently has,\n\nA young man walks in and asks the sales assistant:,Do you have a MacBook Pro?,"I’m sorry, we don’t have a MacBook Pro.",We have *.,a MacBook Pro,a MacBook Air,a desktop computer,an Xbox,The sales assistant replies:
4645,32,NA,main,Graduated High-school,114897,1672168586674,1672168471777,male,English,17965,cafe,2,main,cafe-pie,No but we do have raspberry pie,raspberry pie,competitor,competitor,You are in a café. Today the café has,\n\nA customer asks the waiter:,Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake today.",We have *.,raspberry cake,raspberry pie,chocolate cookies,cheese pizza,The waiter replies:
4641,49,NA,main,Did not graduate High-school,201162,1672166111327,1672165910165,female,English,27774,cafe,4,main,cafe-pie,No but we do have raspberry pie,raspberry pie,competitor,competitor,You are in a café. Today the café has,\n\nA customer asks the waiter:,Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake today.",We have *.,raspberry cake,raspberry pie,chocolate cookies,cheese pizza,The waiter replies:
