,itemName,settingName,question,competitor_response,vignette_start,vignette_continuation,correct_response,character_template,itemQuestion,competitor,sameCategory,otherCategory,mostSimilar
16,postit-board,postit,Are there post-its?,"I'm sorry, we don't have post-its. There is a whiteboard marker.","Your colleague is organizing a workshop at the office. They want to collect ideas for a new product with the team and gather everyone's thoughts on at the office whiteboard. At the office, there are ",\n\nYour colleague asks:,main,Another colleague replies:,post-its,a whiteboard marker,sticky bookmarks,an eraser,a notebook
17,postit-reading,postit,Are there post-its?,"I'm sorry, we don't have post-its. There are sticky bookmarks.","Your colleague at the office has to read through a lot of documents and wants to take some notes. At the office, there are ",\n\nYour colleague asks:,main,Another colleague replies:,post-its,sticky bookmarks,a whiteboard marker,an eraser,a notebook
18,pot-garden,pot,Do you have a pot?,"I'm sorry, I don't have a pot. I have old cans.","Your neighbor is a passionate gardener. She is now repotting and splitting her plants on the veranda, but since they grew so big she ran out of pots. Your roommate is also a crafty person, so have different supplies stored in the basement. Your roommate has  ",\n\nYour neighbor asks:,main,Your roommate answers the door and replies:,a pot,old cans,camping cookware,ceramic plates,several pans
19,pot-jam,pot,Do you have a pot?,"I'm sorry, I don't have a pot. I have camping cookware.","Your neighbor has a beautiful apple tree in their garden. They harvested a lot of apples and are now in the middle of cooking apple jam in the garden. However, she ran out of space for cooking the apples since there are so many. In the basement, your roommate has ",\n\nYour neighbor asks:,main,Your roommate answers the door and replies:,a pot,camping cookware,old cans,ceramic plates,several pans
20,towel-hair,towel,Do you have a towel?,"I'm sorry, I don't have a towel. There is a hair dryer.",There is a Halloween party at your college dorm. Some of your friends who live in other dorms came over. A heavy rain started while they were on their way so now some of them want to dry their hair. In your dorm there is  ,\n\nYour friends ask:,main,Your roommate replies:,a towel,a hair dryer,a dryer in the basement,a blanket,paper towels
21,towel-clothes,towel,Do you have a towel?,"I'm sorry, I don't have a towel. There is a dryer in the basement.",There is a Halloween party at your college dorm. Some of your friends who live in other dorms came over. A heavy rain started while they were on their way so now some of them want to dry their costumes. In your dorm there is ,\n\nYour friends ask:,main,Your roommate replies:,a towel,a dryer in the basement,a hair dryer,a blanket,paper towels
22,candy-halloween,candy,Do we have any candy?,"I'm sorry, I don't have candy. I have little trail mix packages.",It’s Halloween. You just sat down to have dinner with your family as you hear the doorbell ring. Your partner answers the door and you hear that some kids are trick-or-treating. You have ,\n\nYour partner wants to give them some sweets and calls back into the house:,main,Your kid replies:,candy,little trail mix packages,ice cream,soda,a big chocolate bar
23,candy-dessert,candy,Do we have any candy?,"I'm sorry, I don't have candy. I have ice cream.",You just had lunch with your family and now your partner is craving some dessert. You have ,\n\nYour partner asks:,main,Your kid replies:,candy,ice cream,little trail mix packages,soda,a big chocolate bar
24,bottle-plants,bottle,Do you have a bottle?,"I'm sorry, I don't have a bottle. I have a watering can.","You and your colleagues like plants, so you decorated the window ledge of your office with several exemplars. The holiday season is about to begin at your company. Your colleague wants to water the plants before leaving. At your office there is ",\n\nYour colleague asks:,main,Another colleague replies:,a bottle,a watering can,a to-go mug,a spoon,a glass
25,bottle-water,bottle,Do you have a bottle?,"I'm sorry, I don't have a bottle. I have a to-go mug.","You are about to go for a longer walk with some friends. It is a hot day outside. Someone forgot to bring a bottle of water. In your friend’s car trunk, there happens to be ",\n\nThe person ask:,main,The friend replies:,a bottle,a to-go mug,a watering can,a spoon,a glass
